dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,max_leverage,enable_shorts,trailing_stop_pct,sma_filter_period,market_breadth_filter,mean_sortino,min_sortino,max_sortino,mean_return_pct,min_return_pct,max_return_pct,mean_drawdown_pct,worst_drawdown_pct,mean_n_trades,total_n_trades,mean_win_rate,n_windows,w0_sortino,w0_return_pct,w0_drawdown_pct,w0_n_trades,w1_sortino,w1_return_pct,w1_drawdown_pct,w1_n_trades,w2_sortino,w2_return_pct,w2_drawdown_pct,w2_n_trades
0.05,0.05,0.03,0.05,3,14,10,close,1.0,False,0.0,0,0.7,-1033759.8900989237,-3075678.256708993,-3.726561304182942,-4.05619434316836,-6.922499384333823,-0.05627345536106077,-4.05619434316836,-6.922499384333823,2.6666666666666665,8,0.0,3,-3075678.256708993,-6.922499384333823,-6.922499384333823,3,-25597.687026473755,-0.05627345536106077,-0.05627345536106077,1,-3.726561304182942,-5.189810189810196,-5.189810189810196,4
0.1,0.03,0.15,0.15,3,21,20,high,3.0,False,0.0,20,0.6,-1029479.918886433,-3088436.963610543,1.8626553454399728,-10.11839016360723,-34.28194664924116,10.87799185613172,-18.740739896029577,-36.01940860004224,3.6666666666666665,11,20.0,3,-3088436.963610543,-6.95121569771225,-6.95121569771225,3,1.8626553454399728,10.87799185613172,-13.251595390334245,5,-4.6557041017198335,-34.28194664924116,-36.01940860004224,3
0.15,0.02,0.2,0.05,10,30,30,close,3.0,False,0.0,20,0.0,-1761474.3442813356,-3192688.5371120777,-2.9299293883692643,-14.652640124824998,-32.23126816505215,-4.707908067065982,-14.763071037720403,-32.562560903738365,4.333333333333333,13,0.0,3,-2091731.5658025402,-4.707908067065982,-4.707908067065982,1,-3192688.5371120777,-7.018744142356863,-7.018744142356863,6,-2.9299293883692643,-32.23126816505215,-32.562560903738365,6
0.2,0.05,0.2,0.2,5,7,10,close,1.0,False,0.03,0,0.6,-1135660.46019142,-3406981.38057426,0.0,-2.912716078739601,-8.738148236218803,0.0,-2.912716078739601,-8.738148236218803,0.6666666666666666,2,0.0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-3406981.38057426,-8.738148236218803,-8.738148236218803,2
0.2,0.02,0.1,0.15,7,30,10,close,1.0,False,0.03,20,0.8,-1144067.2398363317,-3406981.38057426,0.0,-2.935157657587867,-8.738148236218803,0.0,-2.935157657587867,-8.738148236218803,1.0,3,0.0,3,0.0,0.0,0.0,0,-25220.338934735413,-0.06732473654479691,-0.06732473654479691,1,-3406981.38057426,-8.738148236218803,-8.738148236218803,2
0.07,0.05,0.05,0.08,7,21,10,high,1.0,False,0.03,20,0.6,-967262.1201223875,-3473143.798376764,951081.7943294275,-2.3996425709610234,-7.817084167864833,1.4529350657512259,-3.5584561958692595,-7.817084167864833,4.333333333333333,13,26.666666666666668,3,-3473143.798376764,-7.817084167864833,-7.817084167864833,7,-379724.356319826,-0.8347786107694629,-0.8347786107694629,1,951081.7943294275,1.4529350657512259,-2.0235058089734816,5
0.07,0.01,0.07,0.1,3,30,10,close,5.0,False,0.0,10,0.6,-1189234.1772152781,-3567700.163907082,-0.3728765137490412,-8.340306898223032,-12.74189851244646,-4.249117840225263,-10.85853224200006,-12.812855143934376,2.0,6,16.666666666666668,3,-3567700.163907082,-8.029904341997371,-8.029904341997371,3,-0.3728765137490412,-4.249117840225263,-11.732837240068433,2,-1.9948622386671215,-12.74189851244646,-12.812855143934376,1
0.05,0.03,0.15,0.08,7,30,20,sma,3.0,False,0.0,10,0.6,-1431866.251538203,-3649833.9369325,-2.393538227043571,-7.402219080368886,-12.335655782573559,-1.6562367554231059,-8.774229666545397,-16.451687541103095,2.0,6,0.0,3,-3649833.9369325,-8.214764703109994,-8.214764703109994,3,-645762.4241438824,-1.6562367554231059,-1.6562367554231059,1,-2.393538227043571,-12.335655782573559,-16.451687541103095,2
0.2,0.01,0.03,0.2,7,14,20,close,1.0,False,0.05,10,0.6,-2013622.6725825586,-3730775.882137499,0.0,-4.946229171323297,-9.639310319156595,0.0,-5.155174880275598,-10.266147446013498,1.6666666666666667,5,8.333333333333334,3,-2310092.135610177,-5.199377194813296,-5.199377194813296,1,0.0,0.0,0.0,0,-3730775.882137499,-9.639310319156595,-10.266147446013498,4
0.07,0.02,0.2,0.1,7,30,10,high,1.0,False,0.0,10,0.7,-1483966.0116398314,-4072167.8456940404,-5.832905628214712,-5.878321678253973,-9.165321289127332,-0.8347786107694629,-5.878321678253973,-9.165321289127332,3.6666666666666665,11,0.0,3,-4072167.8456940404,-9.165321289127332,-9.165321289127332,7,-379724.356319826,-0.8347786107694629,-0.8347786107694629,1,-5.832905628214712,-7.634865134865122,-7.634865134865122,3
