trial,window,start_date,end_date,n_trades,dip_pct,proximity_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,ref_price_method,sma_filter_period,market_breadth_filter,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate
31,w1,2026-01-13,2026-03-14,12,0.2,0.01,0.15,0.15,5,7,20,high,20,0.0,0.0,-0.07669247594497283,-7.669247594497283,-3.783535805540827,-1.9266782568335052,-0.09939523459855795,-9.939523459855796,61,9233.075240550272,-0.0012543895035745318,16.666666666666664
31,w2,2025-11-14,2026-01-13,23,0.2,0.01,0.15,0.15,5,7,20,high,20,0.0,0.0,0.03936151053515961,3.936151053515961,0.6933210332425592,0.6911615242381328,-0.19587387985032778,-19.587387985032777,61,8009.52618428857,0.0011824775820652642,27.27272727272727
31,w3,2025-09-15,2025-11-14,22,0.2,0.01,0.15,0.15,5,7,20,high,20,0.0,0.0,-0.27128752825767677,-27.128752825767677,-3.7455112558603685,-5.186759859267415,-0.27128752825767677,-27.128752825767677,58,7287.124717423232,-0.005336524059348671,9.090909090909092
32,w1,2026-01-13,2026-03-14,2,0.15,0.01,0.15,0.2,5,7,20,sma,50,0.6,0.03,0.002678764526897612,0.2678764526897612,85242.66752683205,3.4399073254385595,0.0,0.0,61,10026.787645268976,4.4618051408947864e-05,100.0
32,w2,2025-11-14,2026-01-13,0,0.15,0.01,0.15,0.2,5,7,20,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
32,w3,2025-09-15,2025-11-14,0,0.15,0.01,0.15,0.2,5,7,20,sma,50,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
33,w1,2026-01-13,2026-03-14,14,0.1,0.03,0.1,0.1,3,14,20,sma,50,0.0,0.03,-0.0405554564629083,-4.05554564629083,-1.7349905202361906,-2.5588778990840906,-0.06582012203547961,-6.582012203547961,61,9594.445435370917,-0.0006768566276557875,57.14285714285714
33,w2,2025-11-14,2026-01-13,6,0.1,0.03,0.1,0.1,3,14,20,sma,50,0.0,0.03,0.04045843862020338,4.045843862020338,1.07139222237422,1.9506919287630828,-0.025416938282655482,-2.541693828265548,61,10404.584386202034,0.0006833718762428209,66.66666666666666
33,w3,2025-09-15,2025-11-14,8,0.1,0.03,0.1,0.1,3,14,20,sma,50,0.0,0.03,0.000390638999442308,0.039063899944230804,0.027133604326400985,0.07264667233446719,-0.03218775191621284,-3.218775191621284,61,10003.906389994423,1.8432462561777248e-05,75.0
34,w1,2026-01-13,2026-03-14,44,0.25,0.01,0.1,0.1,5,7,30,high,0,0.0,0.05,-0.2668204453888784,-26.68204453888784,-20.18585147564676,-16.47578250164198,-0.26730897769943357,-26.730897769943358,15,7331.795546111216,-0.02159888874428959,13.636363636363635
34,w2,2025-11-14,2026-01-13,28,0.25,0.01,0.1,0.1,5,7,30,high,0,0.0,0.05,-0.23416299790441164,-23.416299790441165,-204565556.25740388,-11.529818989417235,-0.284497548209407,-28.449754820940697,3,5969.774192748543,-0.10707450588309939,0.0
34,w3,2025-09-15,2025-11-14,60,0.25,0.01,0.1,0.1,5,7,30,high,0,0.0,0.05,-0.3286730787671796,-32.86730787671796,-3.3820774501106365,-4.793245552020821,-0.3286730787671796,-32.86730787671796,26,6713.269212328204,-0.013943002844947188,30.0
35,w1,2026-01-13,2026-03-14,8,0.25,0.01,0.1,0.2,3,21,20,high,50,0.6,0.03,-0.03216299422757329,-3.2162994227573285,-2.703245597777893,-3.0000045974082994,-0.03540589549659926,-3.5405895496599262,61,9678.370057724267,-0.0005387703651601474,25.0
35,w2,2025-11-14,2026-01-13,12,0.25,0.01,0.1,0.2,3,21,20,high,50,0.6,0.03,-0.2719289248886607,-27.19289248886607,-104.65476940179308,-12.189299351687355,-0.2719289248886607,-27.19289248886607,5,7280.710751113393,-0.0698661733087388,0.0
35,w3,2025-09-15,2025-11-14,4,0.25,0.01,0.1,0.2,3,21,20,high,50,0.6,0.03,-0.05690184972339503,-5.690184972339503,-1.9712802764899624,-3.924688054169792,-0.05690184972339503,-5.690184972339503,61,9430.98150276605,-0.0009647093638650641,0.0
36,w1,2026-01-13,2026-03-14,0,0.2,0.01,0.07,0.08,5,7,30,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
36,w2,2025-11-14,2026-01-13,0,0.2,0.01,0.07,0.08,5,7,30,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
36,w3,2025-09-15,2025-11-14,0,0.2,0.01,0.07,0.08,5,7,30,sma,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
37,w1,2026-01-13,2026-03-14,0,0.25,0.02,0.1,0.08,3,21,30,sma,50,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
37,w2,2025-11-14,2026-01-13,0,0.25,0.02,0.1,0.08,3,21,30,sma,50,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
37,w3,2025-09-15,2025-11-14,0,0.25,0.02,0.1,0.08,3,21,30,sma,50,0.6,0.05,0.0,0.0,0.0,0.0,0.0,0.0,61,10000.0,0.0,0.0
38,w1,2026-01-13,2026-03-14,62,0.1,0.02,0.07,0.08,5,7,20,sma,0,0.0,0.03,-0.2809910100527184,-28.09910100527184,-13.758205307498226,-13.65854494802651,-0.28807850113349703,-28.807850113349705,13,7190.089899472816,-0.02638601960272641,12.903225806451612
38,w2,2025-11-14,2026-01-13,50,0.1,0.02,0.07,0.08,5,7,20,sma,0,0.0,0.03,-0.25422516355050445,-25.422516355050444,-46.90728576154363,-27.589728517503588,-0.2616014800321915,-26.160148003219152,6,6655.503762356048,-0.05618584752602349,4.0
38,w3,2025-09-15,2025-11-14,80,0.1,0.02,0.07,0.08,5,7,20,sma,0,0.0,0.03,-0.33636728731476184,-33.63672873147618,-3.931337017101299,-5.189027162220475,-0.36202378570107047,-36.202378570107044,26,6636.327126852381,-0.014598794441789971,35.0
39,w1,2026-01-13,2026-03-14,6,0.25,0.01,0.15,0.1,3,7,10,high,50,0.6,0.0,-0.07634865134865122,-7.634865134865122,-2.663417960396858,-5.189294335093621,-0.07634865134865122,-7.634865134865122,61,9236.513486513488,-0.0013109386295721921,0.0
39,w2,2025-11-14,2026-01-13,10,0.25,0.01,0.15,0.1,3,7,10,high,50,0.6,0.0,-0.12724775224775203,-12.724775224775204,-1.1441497470625435,-1.1892505473204293,-0.16319742023426678,-16.319742023426677,61,8727.52247752248,-0.0018151461974709668,0.0
39,w3,2025-09-15,2025-11-14,4,0.25,0.01,0.15,0.1,3,7,10,high,50,0.6,0.0,-0.05089910089910081,-5.089910089910081,-1.8088650038753886,-3.853686080436602,-0.05089910089910081,-5.089910089910081,61,9491.008991008992,-0.000861027856944085,0.0
40,w1,2026-01-13,2026-03-14,6,0.2,0.02,0.07,0.15,3,21,10,high,20,0.6,0.05,-0.009707568368482133,-0.9707568368482133,-0.4564901446646219,-1.524943689564642,-0.015049860964419168,-1.5049860964419168,61,9902.924316315179,-0.00016052898106298942,66.66666666666666
40,w2,2025-11-14,2026-01-13,8,0.2,0.02,0.07,0.15,3,21,10,high,20,0.6,0.05,-0.15169830169830165,-15.169830169830165,-0.5131268670949292,-1.4630461627662765,-0.19987258146962522,-19.98725814696252,61,8483.016983016983,-0.0022585212669961607,0.0
40,w3,2025-09-15,2025-11-14,4,0.2,0.02,0.07,0.15,3,21,10,high,20,0.6,0.05,-0.07584915084915082,-7.584915084915083,-7.788571657008587,-3.5354996783652974,-0.07584915084915082,-7.584915084915083,61,9241.508491508492,-0.0012889050607348704,0.0
