dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,lookback_days,sma_filter_period,trailing_stop_pct,total_return,total_return_pct,sortino,sharpe,max_drawdown,max_drawdown_pct,n_days,final_equity,mean_daily_return,win_rate,n_trades
0.2,0.15,0.08,7,14,10,0,0.03,-0.18558961356130543,-18.558961356130542,-4.8891824906954815,-4.231720113340801,-0.21684104797698242,-21.684104797698243,30,7844.959171892237,-0.006599896897308447,43.58974358974359,78
0.15,0.1,0.1,5,14,10,20,0.0,-0.06895042123695584,-6.895042123695585,-4.949668680936622,-3.3486559641954594,-0.10305878415920036,-10.305878415920036,30,9310.495787630442,-0.002368917610707866,28.57142857142857,15
0.2,0.15,0.06,5,14,20,20,0.03,-0.032494704875934075,-3.2494704875934075,-4.991611725654544,-5.982510679755654,-0.04031054996967523,-4.031054996967523,30,9675.05295124066,-0.0011318950327785448,50.0,12
0.2,0.07,0.06,7,14,20,20,0.03,-0.032494704875934075,-3.2494704875934075,-4.991611725654544,-5.982510679755654,-0.04031054996967523,-4.031054996967523,30,9675.05295124066,-0.0011318950327785448,50.0,12
0.2,0.07,0.06,7,14,10,10,0.03,-0.03241443032773677,-3.241443032773677,-5.382602387494624,-5.91974847436147,-0.03837490539103455,-3.837490539103455,30,9675.855696722632,-0.001128933669484679,0.0,6
0.12,0.07,0.08,5,14,10,10,0.05,-0.1280349952700512,-12.803499527005119,-5.621433040556244,-4.55093415565107,-0.1529847209355685,-15.29847209355685,30,8536.650976330568,-0.004530438675910539,39.53488372093023,86
0.12,0.07,0.08,7,7,10,10,0.05,-0.1280349952700512,-12.803499527005119,-5.621433040556244,-4.55093415565107,-0.1529847209355685,-15.29847209355685,30,8536.650976330568,-0.004530438675910539,39.53488372093023,86
0.2,0.1,0.06,7,14,20,10,0.0,-0.2582586734080081,-25.825867340800812,-5.752975809381804,-4.868451367428222,-0.2582586734080081,-25.825867340800812,27,6273.458585983226,-0.01054057708990976,3.125,64
0.2,0.15,0.15,7,14,10,20,0.0,-0.05535380313751302,-5.535380313751302,-5.7640724281831766,-4.86513115863021,-0.07694714543954517,-7.694714543954517,30,9446.46196862487,-0.0019327274153577985,0.0,4
0.2,0.07,0.06,3,7,20,10,0.05,-0.24798984369006452,-24.79898436900645,-5.919846793882131,-4.947758086576985,-0.2494028271309045,-24.94028271309045,30,6597.173052188403,-0.009144526325516654,4.0,52
0.2,0.1,0.06,7,14,10,0,0.03,-0.23425774699271604,-23.425774699271603,-6.035151876957428,-5.192285468064912,-0.24880253650891532,-24.880253650891532,30,7376.154345604133,-0.008642175496189917,36.84210526315789,76
