checkpoint,universe,period,return_pct,annualized_pct,sortino,max_dd_pct,num_trades,win_rate,avg_hold
autoresearch_crypto8_daily/smooth_ds,8sym,30,-7.04,-58.87,-0.611,18.55,29,65.5,1.0
autoresearch_crypto8_daily/smooth_ds,8sym,60,-9.62,-45.97,-0.462,31.93,54,50.0,1.1
autoresearch_crypto8_daily/smooth_ds,8sym,90,-14.42,-46.82,-0.56,28.72,78,50.0,1.2
autoresearch_crypto8_daily/smooth_ds,8sym,120,-19.46,-48.23,-0.412,30.29,103,50.5,1.2
autoresearch_crypto8_daily/smooth_ds,8sym,180,-50.29,-75.76,-1.558,60.86,155,45.8,1.2
autoresearch_crypto8_daily/trade_pen_01,8sym,30,-8.93,-67.97,-0.795,20.26,25,60.0,1.2
autoresearch_crypto8_daily/trade_pen_01,8sym,60,-19.26,-72.79,-1.49,23.36,53,47.2,1.1
autoresearch_crypto8_daily/trade_pen_01,8sym,90,-35.55,-83.16,-2.244,45.53,77,46.8,1.2
autoresearch_crypto8_daily/trade_pen_01,8sym,120,-44.3,-83.14,-1.924,49.52,103,46.6,1.2
autoresearch_crypto8_daily/trade_pen_01,8sym,180,-53.89,-79.19,-1.786,62.26,157,45.2,1.1
autoresearch_crypto8_daily/trade_pen_05,8sym,30,10.47,235.88,2.528,15.1,22,63.6,1.4
autoresearch_crypto8_daily/trade_pen_05,8sym,60,5.6,39.32,1.2,22.93,47,51.1,1.3
autoresearch_crypto8_daily/trade_pen_05,8sym,90,-25.18,-69.17,-1.309,41.33,70,47.1,1.3
autoresearch_crypto8_daily/trade_pen_05,8sym,120,-26.05,-60.06,-0.702,42.38,98,49.0,1.2
autoresearch_crypto8_daily/trade_pen_05,8sym,180,-21.91,-39.43,-0.259,45.95,144,48.6,1.2
autoresearch_crypto8_daily/wd_005,8sym,30,5.25,86.42,1.478,18.55,28,67.9,1.1
autoresearch_crypto8_daily/wd_005,8sym,60,-10.13,-47.77,-0.501,24.39,55,52.7,1.1
autoresearch_crypto8_daily/wd_005,8sym,90,-26.84,-71.85,-1.334,40.45,74,51.4,1.2
autoresearch_crypto8_daily/wd_005,8sym,120,-27.37,-62.19,-0.657,37.56,103,51.5,1.2
autoresearch_crypto8_daily/wd_005,8sym,180,-27.3,-47.62,-0.35,46.0,159,50.3,1.1
